Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,San Joaquin Delta College - Stockton Campus,Community College,"5151 Pacific Avenue, Stockton, CA 95207",Stockton,CA,95207,37.996021,-121.31514,18000,165,,"Main campus with Atherton Auditorium, Tillie Lewis Theater - Central campus gathering areas, student common spaces"
Within,San Joaquin Delta College - Mountain House Campus,Community College,"2073 Central Pkwy, Mountain House, CA 95391",Mountain House,CA,95391,37.750068,-121.55198,2000,30,Low,Serves Tracy/Mountain House area - Campus gathering areas
Within,University of the Pacific,4-Year Private University,"3601 Pacific Avenue, Stockton, CA 95211",Stockton,CA,95211,37.980831,-121.30863,4600,175,,"Oldest chartered university in California, beautiful residential campus - Multiple campus quads, residential halls, central gathering areas"
Within,California State University Stanislaus - Stockton Campus,4-Year Public University Satellite,"612 E Magnolia St, Stockton, CA 95202",Stockton,CA,95202,37.964629,-121.28471,400,102,,"Satellite campus for working adults, upper-division courses - Student lounges, common areas in main building"
Near,California State University Stanislaus - Main Campus,4-Year Public University,"1 University Circle, Turlock, CA 95382",Turlock,CA,95382,37.523615,-120.85707,9000,280,,"Main campus ~25 miles from Stockton, residential village - Multiple campus quads, University Union, central areas"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
