Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,University of California Riverside,4-Year Public University,"900 University Avenue, Riverside, CA 92521",Riverside,CA,92521,33.975441,-117.331808,26000,1200,,"Major UC research university, diverse student body"
Within,Riverside City College,Community College,"4800 Magnolia Avenue, Riverside, CA 92506",Riverside,CA,92506,33.971501,-117.3844,20000,108,,Oldest college in Riverside Community College District
Within,Norco College,Community College,"2001 Third Street, Norco, CA 92860",Norco,CA,92860,33.917068,-117.564489,11000,141,,Newest independent California community college
Within,Mt. San Jacinto College - Menifee Campus,Community College,"28237 La Piedra Road, Menifee, CA 92584",Menifee,CA,92584,33.674906,-117.167866,"16,000",27,,Serves southwestern Riverside County
Within,College of the Desert,Community College,"43-500 Monterey Avenue, Palm Desert, CA 92260",Palm Desert,CA,92260,33.401682,-116.042816,12000,160,,Serves Coachella Valley region
Within,UCR Palm Desert Center,University Extension,"75080 Frank Sinatra Dr, Palm Desert, CA 92211",Palm Desert,CA,92211,33.772011,-116.356354,2000,20,,
Within,College of the Desert - Palm Springs Campus,Community College Extension,"1300 E Baristo Rd, Palm Springs, CA 92262",Palm Springs,CA,92262,33.819661,-116.532547,3000,29,,
Near,California State University San Bernardino - Palm Desert Campus,4-Year Public University Satellite,"37-500 Cook Street, Palm Desert, CA 92211",Palm Desert,CA,92211,33.744226,-116.356464,1500,40,,Extension campus serving desert region
Near,Mt. San Jacinto College - San Jacinto Campus,Community College,"1499 N State Street, San Jacinto, CA 92583",San Jacinto,CA,92583,33.805786,-116.972081,16000,180,,Main campus of MSJC district
Near,Moreno Valley College,Community College,"16130 Lasselle Street, Moreno Valley, CA 92551",Moreno Valley,CA,92551,33.887455,-117.202714,14000,132,,Part of Riverside Community College District
