Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Raritan Valley Community College,Community College,"118 Lamington Road, Branchburg NJ 08876",Branchburg,NJ,08876,40.609964,-74.687803,8200,350,,"Serves Somerset and Hunterdon counties, large campus with multiple quads"
Within,Warren County Community College,Community College,"475 Route 57 West, Washington NJ 07882",Washington,NJ,07882,40.744754,-75.018241,3251,42,,Small campus but has open spaces for gatherings
Within,County College of Morris,Community College,"214 Center Grove Road, Randolph NJ 07869",Randolph,NJ,07869,40.857777,-74.581561,7800,218,,Large campus with multiple outdoor spaces
Within,Centenary University,Private University,"400 Jefferson Street, Hackettstown NJ 07840",Hackettstown,NJ,07840,40.849102,-74.832855,1800,42,,Beautiful campus with open quad areas
Within,Saint Elizabeth University,Private University,"2 Convent Road, Morristown NJ 07960",Morristown,NJ,07960,40.777568,-74.444958,1400,200,,Large historic campus with multiple gathering spaces
Within,Drew University,Private University,"36 Madison Avenue, Madison NJ 07940",Madison,NJ,07940,40.759792,-74.428333,2300,186,,Beautiful wooded campus with central quad
Within,Sussex County Community College,Community College,"1 College Hill Road, Newton NJ 07860",Newton,NJ,07860,41.067775,-74.757735,2190,167,,Hillside campus with outdoor gathering areas
Near,Kean University,Public University,"1000 Morris Avenue, Union NJ 07083",Union,NJ,07083,40.68021,-74.233933,16000,185,,Large public university with extensive outdoor areas
Near,Union College of Union County NJ,Community College,"1033 Springfield Avenue, Cranford NJ 07016",Cranford,NJ,07016,40.667779,-74.320217,8298,48,,Multiple campuses with outdoor spaces
Near,Fairleigh Dickinson University - Florham Campus,Private University,"285 Madison Avenue, Madison NJ 07940",Madison,NJ,07940,40.774519,-74.434818,3405,178,,Beautiful estate campus with large lawns
Near,Rutgers University - Newark,Public University,"249 University Avenue, Newark NJ 07102",Newark,NJ,07102,40.739289,-74.175245,13000,38,,Urban campus but has plaza areas for gatherings
Near,New Jersey Institute of Technology,Public University,"323 Dr Martin Luther King Jr Blvd, Newark NJ 07102",Newark,NJ,07102,40.74291,-74.176235,11400,45,,Urban campus with central green space
Near,Seton Hall University,Private University,"400 South Orange Avenue, South Orange NJ 07079",South Orange,NJ,07079,40.740801,-74.246938,10000,58,,Compact campus with central quad
Near,Middlesex County College,Community College,"2600 Woodbridge Avenue, Edison NJ 08818",Edison,NJ,08818,40.510037,-74.365852,12829,200,,Large campus with multiple gathering spaces
Near,Essex County College,Community College,"303 University Avenue, Newark NJ 07102",Newark,NJ,07102,40.737087,-74.176284,10000,22,,Urban campus with limited but usable outdoor space
Near,Rutgers University - New Brunswick,Public University,"83 Somerset Street, New Brunswick NJ 08901",New Brunswick,NJ,08901,40.498051,-74.445983,50000,2685,,Massive multi-campus university with numerous quads and gathering spaces
