Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Arizona State University - Tempe Campus,4-Year University,"660 S College Ave, Tempe AZ 85281",Tempe,AZ,85281,33.423444,-111.935125,"74,000",660,,"660-acre main campus with iconic Palm Walk, Old Main, and Gammage Auditorium"
Within,Arizona State University - Polytechnic Campus,4-Year University,"7001 E Williams Field Rd, Mesa AZ 85212",Mesa,AZ,85212,33.307073,-111.680435,"6,700",380,,600-acre desert arboretum campus with outdoor learning labs and modern facilities
Within,Mesa Community College,Community College,"1833 W Southern Ave, Mesa AZ 85202",Mesa,AZ,85202,33.39283,-111.871537,"12,000",170,,Largest Maricopa Community College with extensive campus and student facilities
Within,Chandler-Gilbert Community College - Williams Campus,Community College,"7360 E Tahoe Ave, Mesa AZ 85212",Mesa,AZ,85212,33.31076,-111.674531,"8,000",20,,"Comprehensive campus with aviation, nursing, and technical programs"
Within,Chandler-Gilbert Community College - Pecos Campus,Community College,"2626 E Pecos Rd, Chandler AZ 85225",Chandler,AZ,85225,33.294746,-111.796454,"7,000",188,,Main CGCC campus with student center and athletic facilities
Near,Arizona State University - Downtown Phoenix Campus,4-Year University,"411 N Central Ave, Phoenix AZ 85004",Phoenix,AZ,85004,33.452997,-112.073534,"12,000",27,,Urban campus in downtown Phoenix with modern facilities and walkable areas
Near,Phoenix College,Community College,"1202 W Thomas Rd, Phoenix AZ 85013",Phoenix,AZ,85013,33.481051,-112.088097,"10,000",50,,Historic campus with student center and multiple walkable areas
Near,South Mountain Community College,Community College,"7050 S 24th St, Phoenix AZ 85042",Phoenix,AZ,85042,33.382102,-112.033165,"6,500",100,,Campus with student commons and outdoor gathering areas
Near,Scottsdale Community College,Community College,"9000 E Chaparral Rd, Scottsdale AZ 85256",Scottsdale,AZ,85256,33.512778,-111.884017,"9,000",160,,Beautiful desert campus with performing arts center and student areas
Near,GateWay Community College,Community College,"108 N 40th St, Phoenix AZ 85034",Phoenix,AZ,85034,33.450346,-111.996697,"7,500",8,,Urban campus with student services building and outdoor areas
